,process,product_name,type,unit,value,product_type,carbon_content,data_source,flow_amount,flowxvalue,ghg,bdv,health
45,"vinyl_chloride, from ethylene by a balanced process_co2",chlorine,RAW MATERIALS,kg,-0.5787,raw_material,0.0,ihsmarkit,0.0,-0.0,-0.1744072287511958,-0.0,-1.1643870867934813e-07
46,"ethylene_oxide, from ethylene by oxygen oxidation_co2",co2_feedstock_fossil,BY-PRODUCT CREDITS,kg,0.2515407142857143,raw_material,0.2727272727272727,ihsmarkit,0.0,0.0,0.0,0.0,0.0
47,"acetic_acid, from methanol carbonylation_co2",cooling_water,UTILITIES,MJ,-2.5045076933256336,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
48,"adipic_acid, from phenol via cyclohexanol_co2",cooling_water,UTILITIES,MJ,-7.82543572904757,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
49,"butene_1, from ethylene by dimerization_co2",cooling_water,UTILITIES,MJ,-3.207684333044608,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
50,"diethylene_glycol, from ethylene via eo_co2",cooling_water,UTILITIES,MJ,-9.310116389208288,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
51,"dinitrotoluene, from toluene by nitration_co2",cooling_water,UTILITIES,MJ,-0.6573495019488955,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
52,"ethylene_glycol, from ethylene via eo_co2",cooling_water,UTILITIES,MJ,-6.285389396787137,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
53,"ethylene_oxide, from ethylene by oxygen oxidation_co2",cooling_water,UTILITIES,MJ,-5.184250216543958,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
54,"gpps, by continuous bulk polymerization_co2",cooling_water,UTILITIES,MJ,-0.548694781290602,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
55,"hdpe, by gas phase process_co2",cooling_water,UTILITIES,MJ,-2.2559959668687743,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
56,"ldpe, by gas phase process_co2",cooling_water,UTILITIES,MJ,-1.942681987151725,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
57,"nitrobenzene, from benzene by nitration_co2",cooling_water,UTILITIES,MJ,-1.5360740580337806,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
58,"pet, by tpa process_co2",cooling_water,UTILITIES,MJ,-0.7060293958423559,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
59,"phenol, from cumene_co2",cooling_water,UTILITIES,MJ,-6.412656568817235,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
60,"polymeric_mdi, by phosgenation_co2",cooling_water,UTILITIES,MJ,-5.602415968973945,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
61,"polyol_polyether, from po and eo by semi-continuous process_co2",cooling_water,UTILITIES,MJ,-0.5172956366392377,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
62,"pp, by gas phase process_co2",cooling_water,UTILITIES,MJ,-2.252720513930995,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
63,"propylene, from ethylene by dimerization and oct_co2",cooling_water,UTILITIES,MJ,-1.7268720060049347,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
64,"propylene_oxide, by the hppo process_co2",cooling_water,UTILITIES,MJ,-10.874660439373155,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
65,"pur_flexible, from toluene diisocyanate and polyol_co2",cooling_water,UTILITIES,MJ,-0.03953131766998701,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
66,"pvc, by suspension polymerization_co2",cooling_water,UTILITIES,MJ,-0.9284213043164429,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
67,"styrene, from ethylbenzene by dehydrogenation_co2",cooling_water,UTILITIES,MJ,-5.01603783601417,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
68,"terephthalic_acid, from p-xylene by air oxidation_co2",cooling_water,UTILITIES,MJ,-5.649354719825433,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
69,"vinyl_chloride, from ethylene by a balanced process_co2",cooling_water,UTILITIES,MJ,-3.8740694023386744,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
70,"phenol, from cumene_co2",cumene_co2,RAW MATERIALS,kg,-0.9714498712090291,intermediate,0.899,ihsmarkit,0.0,-0.0,,,
71,"diethylene_glycol, from ethylene via eo_co2",diethylene_glycol_co2,PRODUCT,kg,1.0,intermediate,0.453,ihsmarkit,0.0,0.0,,,
72,"polyol_polyester, from adipic acid and deg_co2",diethylene_glycol_co2,RAW MATERIALS,kg,-0.5001,intermediate,0.453,ihsmarkit,0.0,-0.0,,,
73,"dinitrotoluene, from toluene by nitration_co2",dinitrotoluene_co2,PRODUCT,kg,1.0,intermediate,0.462,ihsmarkit,0.0,0.0,,,
74,"acetic_acid, from methanol carbonylation_co2",electricity,UTILITIES,kWh,-0.0931159122222222,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
75,"adipic_acid, from phenol via cyclohexanol_co2",electricity,UTILITIES,kWh,-0.0748754310430185,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
76,"butene_1, from ethylene by dimerization_co2",electricity,UTILITIES,kWh,-0.13897721,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
77,"diethylene_glycol, from ethylene via eo_co2",electricity,UTILITIES,kWh,-1.4629220181926272,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
78,"dinitrotoluene, from toluene by nitration_co2",electricity,UTILITIES,kWh,-0.0485017,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
79,"ethylene_glycol, from ethylene via eo_co2",electricity,UTILITIES,kWh,-0.9876390538073933,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
80,"ethylene_oxide, from ethylene by oxygen oxidation_co2",electricity,UTILITIES,kWh,-0.470962505,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
81,"gpps, by continuous bulk polymerization_co2",electricity,UTILITIES,kWh,-0.078705025,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
82,"hdpe, by gas phase process_co2",electricity,UTILITIES,kWh,-0.3662815125,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
83,"ldpe, by gas phase process_co2",electricity,UTILITIES,kWh,-0.2932295066666666,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
84,"nitrobenzene, from benzene by nitration_co2",electricity,UTILITIES,kWh,-0.036376275,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
85,"pet, by tpa process_co2",electricity,UTILITIES,kWh,-0.05379169,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
86,"phenol, from cumene_co2",electricity,UTILITIES,kWh,-0.1336459730364851,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
87,"polymeric_mdi, by phosgenation_co2",electricity,UTILITIES,kWh,-0.8592034336534733,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
88,"polyol_polyester, from adipic acid and deg_co2",electricity,UTILITIES,kWh,-0.61224575,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
89,"polyol_polyether, from po and eo by semi-continuous process_co2",electricity,UTILITIES,kWh,-0.0551155699999999,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
90,"pp, by gas phase process_co2",electricity,UTILITIES,kWh,-0.3029077983333333,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
91,"propylene, from ethylene by dimerization and oct_co2",electricity,UTILITIES,kWh,-0.4610428472032244,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
92,"propylene_oxide, by the hppo process_co2",electricity,UTILITIES,kWh,-0.9580197296555086,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
93,"pur_flexible, from toluene diisocyanate and polyol_co2",electricity,UTILITIES,kWh,-0.13437175,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
94,"pur_rigid, from polymeric MDI and polyol_co2",electricity,UTILITIES,kWh,-1.2478163999999998,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
95,"pvc, by suspension polymerization_co2",electricity,UTILITIES,kWh,-0.3264825666666667,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
96,"styrene, from ethylbenzene by dehydrogenation_co2",electricity,UTILITIES,kWh,-0.0589309233879928,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
97,"terephthalic_acid, from p-xylene by air oxidation_co2",electricity,UTILITIES,kWh,-0.2213915961538462,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
98,"vinyl_chloride, from ethylene by a balanced process_co2",electricity,UTILITIES,kWh,-0.06948971,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
99,"styrene, from ethylbenzene by dehydrogenation_co2",ethylbenzene_co2,RAW MATERIALS,kg,-1.020531706975596,intermediate,0.905,ihsmarkit,0.0,-0.0,,,
100,"butene_1, from ethylene by dimerization_co2",ethylene_co2,RAW MATERIALS,kg,-1.05515,intermediate,0.85714,ihsmarkit,0.0,-0.0,,,
101,"diethylene_glycol, from ethylene via eo_co2",ethylene_co2,RAW MATERIALS,kg,-0.8418342626022521,intermediate,0.85714,ihsmarkit,0.0,-0.0,,,
102,"ethylene_glycol, from ethylene via eo_co2",ethylene_co2,RAW MATERIALS,kg,-0.5683340494159247,intermediate,0.85714,ihsmarkit,0.0,-0.0,,,
103,"ethylene_oxide, from ethylene by oxygen oxidation_co2",ethylene_co2,RAW MATERIALS,kg,-0.796435,intermediate,0.85714,ihsmarkit,0.0,-0.0,,,
104,"hdpe, by gas phase process_co2",ethylene_co2,RAW MATERIALS,kg,-1.00505,intermediate,0.85714,ihsmarkit,0.0,-0.0,,,
105,"ldpe, by gas phase process_co2",ethylene_co2,RAW MATERIALS,kg,-0.96736,intermediate,0.85714,ihsmarkit,0.0,-0.0,,,
106,"propylene, from ethylene by dimerization and oct_co2",ethylene_co2,RAW MATERIALS,kg,-1.0915946937271612,intermediate,0.85714,ihsmarkit,0.0,-0.0,,,
107,"vinyl_chloride, from ethylene by a balanced process_co2",ethylene_co2,RAW MATERIALS,kg,-0.4674,intermediate,0.85714,ihsmarkit,0.0,-0.0,,,
108,"ethylene_glycol, from ethylene via eo_co2",ethylene_glycol_co2,PRODUCT,kg,1.0,intermediate,0.387,ihsmarkit,0.0,0.0,,,
109,"pet, by tpa process_co2",ethylene_glycol_co2,RAW MATERIALS,kg,-0.328665,intermediate,0.387,ihsmarkit,0.0,-0.0,,,
110,"ethylene_oxide, from ethylene by oxygen oxidation_co2",ethylene_oxide_co2,PRODUCT,kg,1.0,intermediate,0.545,ihsmarkit,0.0,0.0,,,
111,"polyol_polyether, from po and eo by semi-continuous process_co2",ethylene_oxide_co2,RAW MATERIALS,kg,-0.1007,intermediate,0.545,ihsmarkit,0.0,-0.0,,,
112,"polymeric_mdi, by phosgenation_co2",formaldehyde_co2,RAW MATERIALS,kg,-0.0588735527677667,intermediate,0.4,ihsmarkit,0.0,-0.0,,,
113,"polyol_polyether, from po and eo by semi-continuous process_co2",glycerin,RAW MATERIALS,kg,-0.031,raw_material,0.39,ihsmarkit,0.0,-0.0,-3.231729102989914,-0.0,-1.6444032843055251e-06
114,"gpps, by continuous bulk polymerization_co2",gpps_co2,PRODUCT,kg,1.0,intermediate,0.857,ihsmarkit,0.0,0.0,,,
115,"hdpe, by gas phase process_co2",hdpe_co2,PRODUCT,kg,1.0,intermediate,0.857,ihsmarkit,0.0,0.0,,,
116,"dinitrotoluene, from toluene by nitration_co2",heat_high,UTILITIES,MJ,-4.186799983008,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
117,"gpps, by continuous bulk polymerization_co2",heat_high,UTILITIES,MJ,-0.511836299316,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
118,"nitrobenzene, from benzene by nitration_co2",heat_high,UTILITIES,MJ,-1.265460306048,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
119,"pet, by tpa process_co2",heat_high,UTILITIES,MJ,-2.141548195752,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
120,"phenol, from cumene_co2",heat_high,UTILITIES,MJ,-0.1416385417425289,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
121,"polymeric_mdi, by phosgenation_co2",heat_high,UTILITIES,MJ,-0.8178489562221349,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
122,"propylene, from ethylene by dimerization and oct_co2",heat_high,UTILITIES,MJ,-1.1898546033548971,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
123,"propylene_oxide, by the hppo process_co2",heat_high,UTILITIES,MJ,-0.2318326935024316,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
124,"styrene, from ethylbenzene by dehydrogenation_co2",heat_high,UTILITIES,MJ,-0.9080375841879154,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
125,"terephthalic_acid, from p-xylene by air oxidation_co2",heat_high,UTILITIES,MJ,-0.7163421552996925,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
126,"vinyl_chloride, from ethylene by a balanced process_co2",heat_high,UTILITIES,MJ,-2.6586179824320006,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
127,"adipic_acid, from phenol via cyclohexanol_co2",hydrogen,RAW MATERIALS,kg,-0.0392631553237625,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
128,"phenol, from cumene_co2",hydrogen,RAW MATERIALS,kg,-0.000189499987654,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
129,"propylene_oxide, by the hppo process_co2",hydrogen,RAW MATERIALS,kg,-0.0454438799967717,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
130,"terephthalic_acid, from p-xylene by air oxidation_co2",hydrogen,RAW MATERIALS,kg,-0.0016906177,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
131,"ldpe, by gas phase process_co2",ldpe_co2,PRODUCT,kg,1.0,intermediate,0.857,ihsmarkit,0.0,0.0,,,
132,"acetic_acid, from methanol carbonylation_co2",methanol_co2,RAW MATERIALS,kg,-0.5403866666666666,intermediate,0.375,ihsmarkit,0.0,-0.0,,,
133,"propylene_oxide, by the hppo process_co2",methanol_co2,RAW MATERIALS,kg,-0.0109879911622418,intermediate,0.375,ihsmarkit,0.0,-0.0,,,
134,"adipic_acid, from phenol via cyclohexanol_co2",n2o_emission,EMISSION,kg,0.0115570981922834,emission,0.0,ihsmarkit,0.0,0.0,273.0,0.0,0.0
135,"adipic_acid, from phenol via cyclohexanol_co2",nitric_acid,RAW MATERIALS,kg,-0.3677951888688839,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
136,"dinitrotoluene, from toluene by nitration_co2",nitric_acid,RAW MATERIALS,kg,-0.6204954973821992,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
137,"nitrobenzene, from benzene by nitration_co2",nitric_acid,RAW MATERIALS,kg,-0.310896,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
138,"nitrobenzene, from benzene by nitration_co2",nitrobenzene_co2,PRODUCT,kg,1.0,intermediate,0.585,ihsmarkit,0.0,0.0,,,
139,"acetic_acid, from methanol carbonylation_co2",nitrogen_liquid,UTILITIES,kg,-0.0015290560277777,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
140,"hdpe, by gas phase process_co2",nitrogen_liquid,UTILITIES,kg,-0.056118906275,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
141,"ldpe, by gas phase process_co2",nitrogen_liquid,UTILITIES,kg,-0.0229817142333333,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
142,"phenol, from cumene_co2",nitrogen_liquid,UTILITIES,kg,-0.0297184861140256,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
143,"polymeric_mdi, by phosgenation_co2",nitrogen_liquid,UTILITIES,kg,-0.05084843568375,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
144,"polyol_polyester, from adipic acid and deg_co2",nitrogen_liquid,UTILITIES,kg,-0.01788996135,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
145,"polyol_polyether, from po and eo by semi-continuous process_co2",nitrogen_liquid,UTILITIES,kg,-0.0542203349,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
146,"pp, by gas phase process_co2",nitrogen_liquid,UTILITIES,kg,-0.0360898923083333,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
147,"propylene, from ethylene by dimerization and oct_co2",nitrogen_liquid,UTILITIES,kg,-0.0075485661396023,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
148,"propylene_oxide, by the hppo process_co2",nitrogen_liquid,UTILITIES,kg,-0.0065482201352913,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
149,"pvc, by suspension polymerization_co2",nitrogen_liquid,UTILITIES,kg,-0.0068807540666666,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
150,"styrene, from ethylbenzene by dehydrogenation_co2",nitrogen_liquid,UTILITIES,kg,-0.0022744600618506,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
151,"terephthalic_acid, from p-xylene by air oxidation_co2",nitrogen_liquid,UTILITIES,kg,-0.0076500746615384,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
152,"diethylene_glycol, from ethylene via eo_co2",oxygen_liquid,RAW MATERIALS,kg,-0.8323112824063907,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
153,"ethylene_glycol, from ethylene via eo_co2",oxygen_liquid,RAW MATERIALS,kg,-0.5619049526950435,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
154,"ethylene_oxide, from ethylene by oxygen oxidation_co2",oxygen_liquid,RAW MATERIALS,kg,-0.8113049999999999,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
155,"phenol, from cumene_co2",oxygen_liquid,RAW MATERIALS,kg,-0.069653073671096,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
156,"polymeric_mdi, by phosgenation_co2",oxygen_liquid,RAW MATERIALS,kg,-0.0483438440574428,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
157,"propylene_oxide, by the hppo process_co2",oxygen_liquid,RAW MATERIALS,kg,-0.5269147493203485,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
158,"styrene, from ethylbenzene by dehydrogenation_co2",oxygen_liquid,RAW MATERIALS,kg,-0.0470089334141988,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
159,"vinyl_chloride, from ethylene by a balanced process_co2",oxygen_liquid,RAW MATERIALS,kg,-0.1378,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
160,"terephthalic_acid, from p-xylene by air oxidation_co2",p-xylene_co2,RAW MATERIALS,kg,-0.6547607692307693,intermediate,0.9056603773584906,ihsmarkit,0.0,-0.0,,,
161,"pet, by tpa process_co2",pet_co2,PRODUCT,kg,1.0,intermediate,0.63,ihsmarkit,0.0,0.0,,,
162,"adipic_acid, from phenol via cyclohexanol_co2",phenol_co2,RAW MATERIALS,kg,-0.6723009521880527,intermediate,0.766,ihsmarkit,0.0,-0.0,,,
163,"phenol, from cumene_co2",phenol_co2,PRODUCT,kg,1.0,intermediate,0.766,ihsmarkit,0.0,0.0,,,
164,"polymeric_mdi, by phosgenation_co2",polymeric_mdi_co2,PRODUCT,kg,1.0,intermediate,0.72,ihsmarkit,0.0,0.0,,,
165,"pur_rigid, from polymeric MDI and polyol_co2",polymeric_mdi_co2,RAW MATERIALS,kg,-0.6398,intermediate,0.72,ihsmarkit,0.0,-0.0,,,
166,"polyol_polyester, from adipic acid and deg_co2",polyol_polyester_co2,PRODUCT,kg,1.0,intermediate,0.475,ihsmarkit,0.0,0.0,,,
167,"pur_rigid, from polymeric MDI and polyol_co2",polyol_polyester_co2,RAW MATERIALS,kg,-0.115,intermediate,0.475,ihsmarkit,0.0,-0.0,,,
168,"polyol_polyether, from po and eo by semi-continuous process_co2",polyol_polyether_co2,PRODUCT,kg,1.0,intermediate,0.609,ihsmarkit,0.0,0.0,,,
169,"pur_flexible, from toluene diisocyanate and polyol_co2",polyol_polyether_co2,RAW MATERIALS,kg,-0.66401,intermediate,0.609,ihsmarkit,0.0,-0.0,,,
170,"pur_rigid, from polymeric MDI and polyol_co2",polyol_polyether_co2,RAW MATERIALS,kg,-0.1269,intermediate,0.609,ihsmarkit,0.0,-0.0,,,
171,"pp, by gas phase process_co2",pp_co2,PRODUCT,kg,1.0,intermediate,0.857,ihsmarkit,0.0,0.0,,,
172,"pp, by gas phase process_co2",propylene_co2,RAW MATERIALS,kg,-1.01501,intermediate,0.85714,ihsmarkit,0.0,-0.0,,,
173,"propylene, from ethylene by dimerization and oct_co2",propylene_co2,PRODUCT,kg,1.0,intermediate,0.85714,ihsmarkit,0.0,0.0,,,
174,"propylene_oxide, by the hppo process_co2",propylene_co2,RAW MATERIALS,kg,-0.8197127874275201,intermediate,0.85714,ihsmarkit,0.0,-0.0,,,
