,process,product_name,type,unit,value,product_type,carbon_content,data_source,flow_amount,flowxvalue,ghg,bdv,health
40,"butene_1, from ethylene by dimerization_co2",butene_1_co2,PRODUCT,kg,1.0,intermediate,0.857,ihsmarkit,0.0,0.0,,,
41,"ldpe, by gas phase process_co2",butene_1_co2,RAW MATERIALS,kg,-0.0734333333333333,intermediate,0.857,ihsmarkit,0.0,-0.0,,,
42,"acetic_acid, from methanol carbonylation_co2",carbon_monoxide_co2,RAW MATERIALS,kg,-0.4911840755388889,intermediate,0.42857142857142855,ihsmarkit,0.0,-0.0,,,
43,"polymeric_mdi, by phosgenation_co2",carbon_monoxide_co2,RAW MATERIALS,kg,-0.237432336818872,intermediate,0.42857142857142855,ihsmarkit,0.0,-0.0,,,
44,"polymeric_mdi, by phosgenation_co2",chlorine,RAW MATERIALS,kg,-0.2416763293894047,raw_material,0.0,ihsmarkit,0.0,-0.0,-0.1744072287511958,-0.0,-1.8090201979914512e-07
45,"vinyl_chloride, from ethylene by a balanced process_co2",chlorine,RAW MATERIALS,kg,-0.5787,raw_material,0.0,ihsmarkit,0.0,-0.0,-0.1744072287511958,-0.0,-1.8090201979914512e-07
46,"ethylene_oxide, from ethylene by oxygen oxidation_co2",co2_feedstock_fossil,BY-PRODUCT CREDITS,kg,0.2515407142857143,raw_material,0.2727272727272727,ihsmarkit,0.0,0.0,0.0,0.0,0.0
47,"acetic_acid, from methanol carbonylation_co2",cooling_water,UTILITIES,MJ,-2.5045076933256336,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
48,"adipic_acid, from phenol via cyclohexanol_co2",cooling_water,UTILITIES,MJ,-7.82543572904757,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
49,"butene_1, from ethylene by dimerization_co2",cooling_water,UTILITIES,MJ,-3.207684333044608,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
50,"diethylene_glycol, from ethylene via eo_co2",cooling_water,UTILITIES,MJ,-9.310116389208288,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
51,"dinitrotoluene, from toluene by nitration_co2",cooling_water,UTILITIES,MJ,-0.6573495019488955,intermediate,0.0,ihsmarkit,0.0,-0.0,,,
