barley_straw,maize_stover,rapeseed_straw,rice_straw,sorghum_straw,soybean_straw,sugarcane_tops_and_leaves,wheat_straw,forest_residue,co2_feedstock_fossil,co2_feedstock_biogenic_short,co2_feedstock_biogenic_long,electricity,plastic_production,ghg,bdv,plastics_mechanical_recycling,demand_scenario,ele_share,ele_impact
-0.0,458.64685145356157,-0.0,-0.0,70.75989547201505,120.44586293222649,192.09286890017316,-0.0,-0.0,-0.2497888371419136,-0.7373338689461432,-0.0,229.14113465077855,255.6901209608069,120.35338101940545,1927.0019460613596,85.2313551408934,2005,0.02,-999.0
-0.0,458.64685145356157,-0.0,-0.0,-0.0,120.44586293222649,130.8839501852481,-0.0,-0.0,-0.2497888371419136,-0.0,-0.0,936.3651906915534,255.6901209608069,90.09989738986691,2106.0087084421716,88.95386356460537,2005,0.02,0.001
-0.0,458.64685145356157,-0.0,-0.0,-0.0,120.44586293222649,130.8839501852481,-0.0,-0.0,-0.2497888371419136,-0.0,-0.0,936.3651906915534,255.6901209608069,93.84535815263312,2106.0087084421716,88.95386356460537,2005,0.02,0.005
-0.0,458.64685145356157,-0.0,-0.0,-0.0,120.44586293222649,130.8839501852481,-0.0,-0.0,-0.2497888371419136,-0.0,-0.0,936.3651906915534,255.6901209608069,98.5271841060909,2106.0087084421716,88.95386356460537,2005,0.02,0.01
-0.0,458.64685145356157,-0.0,-0.0,-0.0,120.44586293222649,130.8839501852481,-0.0,-0.0,-0.2497888371419136,-0.0,-0.0,936.3651906915534,255.6901209608069,103.20901005954865,2106.0087084421716,88.95386356460537,2005,0.02,0.015
-0.0,458.64685145356157,-0.0,-0.0,-0.0,120.44586293222649,192.09286890017316,-0.0,-0.0,-0.2497888371419136,-0.0,-0.0,595.3882532478523,255.6901209608069,107.1747790005173,1942.6754478571581,88.95386356460537,2005,0.02,0.02
-0.0,458.64685145356157,-0.0,-0.0,57.48947234616173,120.44586293222649,192.09286890017316,-0.0,-0.0,-0.2497888371419136,-1.3703588847960733,-0.0,275.3642506031769,255.6901209608069,111.12370949864173,1911.8680387199927,88.95386356460537,2005,0.02,0.03
-0.0,458.64685145356157,-0.0,-0.0,67.4448729786493,120.44586293222649,192.09286890017316,-0.0,-0.0,-0.2497888371419136,-1.3703588847960733,-0.0,234.34276287281793,255.6901209608069,115.92769026347774,1918.3576321151832,86.32339015639722,2005,0.02,0.05
-0.0,458.64685145356157,-0.0,-0.0,78.30775411268837,120.44586293222649,192.09286890017316,-0.0,-0.0,-0.2497888371419136,-0.7373338689461432,-0.0,215.7816623674454,255.6901209608069,127.22872103052799,1946.318605868006,84.02731660275172,2005,0.02,0.1
-0.0,458.64685145356157,-0.0,-0.0,95.14297160135459,120.44586293222649,192.09286890017316,-0.0,-0.0,-0.2497888371419136,-70.63847998106152,-0.0,178.4190159649949,255.6901209608069,145.34529378113425,1986.5596867482247,82.45215419949699,2005,0.02,0.2
-0.0,458.64685145356157,-0.0,-0.0,70.75989547201505,120.44586293222649,192.09286890017316,-0.0,-0.0,-0.2497888371419136,-0.7373338689461432,-0.0,229.14113465077855,255.6901209608069,120.35338101940545,1927.0019460613596,85.2313551408934,2005,0.05,-999.0
-0.0,458.64685145356157,-0.0,-0.0,-0.0,11.357465744571641,-0.0,-0.0,-0.0,89.99937129761622,-0.0,-0.0,2340.912976728883,255.6901209608069,73.10153655212547,2655.2224183261355,100.9556673124355,2005,0.05,0.001
-0.0,458.64685145356157,-0.0,-0.0,-0.0,79.84253768902659,-0.0,-0.0,-0.0,-0.2497888371419136,-2.7755575615628914e-17,-0.0,1968.5101943491904,255.6901209608069,81.88848756734777,2571.068783586421,100.81738292865799,2005,0.05,0.005
-0.0,458.64685145356157,-0.0,-0.0,-0.0,83.79109310806086,-0.0,-0.0,-0.0,-0.2497888371419136,-2.7755575615628914e-17,-0.0,1926.90740107495,255.6901209608069,91.69141142919219,2549.8986180086113,99.14195283253113,2005,0.05,0.01
-0.0,458.64685145356157,-0.0,-0.0,-0.0,97.78652356002385,-0.0,-0.0,-0.0,-0.2497888371419136,-0.0,-0.0,1794.5203553079969,255.6901209608069,100.92343953727885,2487.7446617806127,94.0037945967517,2005,0.05,0.015
-0.0,458.64685145356157,-0.0,-0.0,-0.0,120.44586293222649,192.09286890017316,-0.0,-0.0,-0.2497888371419136,-0.0,-0.0,595.3882532478523,255.6901209608069,107.1747790005173,1942.6754478571581,88.95386356460537,2005,0.05,0.02
-0.0,458.64685145356157,-0.0,-0.0,57.48947234616173,120.44586293222649,192.09286890017316,-0.0,-0.0,-0.2497888371419136,-1.3703588847960733,-0.0,275.3642506031769,255.6901209608069,111.12370949864173,1911.8680387199927,88.95386356460537,2005,0.05,0.03
-0.0,458.64685145356157,-0.0,-0.0,67.4448729786493,120.44586293222649,192.09286890017316,-0.0,-0.0,-0.2497888371419136,-1.3703588847960733,-0.0,234.34276287281793,255.6901209608069,115.92769026347774,1918.3576321151832,86.32339015639722,2005,0.05,0.05
-0.0,458.64685145356157,-0.0,-0.0,78.30775411268837,120.44586293222649,192.09286890017316,-0.0,-0.0,-0.2497888371419136,-0.7373338689461432,-0.0,215.7816623674454,255.6901209608069,127.22872103052799,1946.318605868006,84.02731660275172,2005,0.05,0.1
-0.0,458.64685145356157,-0.0,-0.0,95.14297160135459,120.44586293222649,192.09286890017316,-0.0,-0.0,-0.2497888371419136,-70.63847998106152,-0.0,178.4190159649949,255.6901209608069,145.34529378113425,1986.5596867482247,82.45215419949699,2005,0.05,0.2
