process,product_name,type,unit,value,product_type,carbon_content,data_source
"polybutadiene, by solution process",cooling_water,UTILITIES,MJ,-5.391981647899525,intermediate,0.0,ihsmarkit
"polymeric_mdi, by phosgenation",cooling_water,UTILITIES,MJ,-5.602415968973945,intermediate,0.0,ihsmarkit
"polyol_polyether, from po and eo by semi-continuous process",cooling_water,UTILITIES,MJ,-0.5172956366392377,intermediate,0.0,ihsmarkit
"pp, by gas phase process",cooling_water,UTILITIES,MJ,-2.252720513930995,intermediate,0.0,ihsmarkit
"pur_flexible, from toluene diisocyanate and polyol",cooling_water,UTILITIES,MJ,-0.03953131766998701,intermediate,0.0,ihsmarkit
"pvc, by suspension polymerization",cooling_water,UTILITIES,MJ,-0.9284213043164429,intermediate,0.0,ihsmarkit
"terephthalic_acid, from p-xylene by air oxidation",cooling_water,UTILITIES,MJ,-5.649354719825433,intermediate,0.0,ihsmarkit
"vinyl_chloride, from ethylene by a balanced process",cooling_water,UTILITIES,MJ,-3.8740694023386744,intermediate,0.0,ihsmarkit
"diethylene_glycol, from ethylene via eo",diethylene_glycol,PRODUCT,kg,1.0,intermediate,0.453,ihsmarkit
"polyol_polyester, from adipic acid and deg",diethylene_glycol,RAW MATERIALS,kg,-0.5001,intermediate,0.453,ihsmarkit
"dinitrotoluene, from toluene by nitration",dinitrotoluene,PRODUCT,kg,1.0,intermediate,0.462,ihsmarkit
"acetic_acid, from methanol carbonylation",electricity,UTILITIES,kWh,-0.0931159122222222,intermediate,0.0,ihsmarkit
"adipic_acid, from phenol via cyclohexanol",electricity,UTILITIES,kWh,-0.0748754310430185,intermediate,0.0,ihsmarkit
"butene_1, from ethylene by dimerization",electricity,UTILITIES,kWh,-0.13897721,intermediate,0.0,ihsmarkit
"diethylene_glycol, from ethylene via eo",electricity,UTILITIES,kWh,-1.4629220181926272,intermediate,0.0,ihsmarkit
"dinitrotoluene, from toluene by nitration",electricity,UTILITIES,kWh,-0.0485017,intermediate,0.0,ihsmarkit
"ethylene_glycol, from ethylene via eo",electricity,UTILITIES,kWh,-0.9876390538073933,intermediate,0.0,ihsmarkit
"ethylene_oxide, from ethylene by oxygen oxidation",electricity,UTILITIES,kWh,-0.470962505,intermediate,0.0,ihsmarkit
"gpps, by continuous bulk polymerization",electricity,UTILITIES,kWh,-0.078705025,intermediate,0.0,ihsmarkit
"hdpe, by gas phase process",electricity,UTILITIES,kWh,-0.3662815125,intermediate,0.0,ihsmarkit
"hips, by continuous bulk polymerization",electricity,UTILITIES,kWh,-0.095195605,intermediate,0.0,ihsmarkit
"ldpe, by gas phase process",electricity,UTILITIES,kWh,-0.2932295066666666,intermediate,0.0,ihsmarkit
"nitrobenzene, from benzene by nitration",electricity,UTILITIES,kWh,-0.036376275,intermediate,0.0,ihsmarkit
