Model,Scenario,Category,IMP_marker,Region,Variable,Unit,2010,2020,2030,2040,2050
GCAM 5.3,NGFS2_Current Policies,C7,CurPol,World,Secondary Energy|Electricity|Solar,EJ/yr,0.1219138,2.978455,10.41522,14.28219,24.40527
GCAM 5.3,NGFS2_Current Policies,C7,CurPol,World,Secondary Energy|Electricity|Wind,EJ/yr,1.228735,5.183112,11.86692,15.22949,19.67645
GCAM 5.3,NGFS2_Current Policies,C7,CurPol,World,Secondary Energy|Electricity|Solar|PV,EJ/yr,0.115992,2.939123,9.875781,13.00273,21.39462
GCAM 5.3,NGFS2_Current Policies,C7,CurPol,World,Secondary Energy|Electricity|Solar|CSP,EJ/yr,0.00592183,0.03933266,0.5394364,1.279462,3.01065
IMAGE 3.0,EN_INDCi2030_3000f,C6,ModAct,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,0.0,0.0,91.5293540291187,59.27781075828408,14.59810513700688
IMAGE 3.0,EN_INDCi2030_3000f,C6,ModAct,World,Carbon Sequestration|CCS|Fossil,Mt CO2/yr,0.0,0.0,382.2689887907379,744.3318632539505,691.2140416031108
IMAGE 3.0,EN_INDCi2030_3000f,C6,ModAct,World,Final Energy|Industry|Electricity,EJ/yr,29.738849609375,39.682390625,48.22319921875,57.55757031250001,61.22287890625
IMAGE 3.0,EN_INDCi2030_3000f,C6,ModAct,World,Secondary Energy|Electricity,EJ/yr,76.77038592000002,102.731603968,127.51200256,154.306101248,172.732694528
IMAGE 3.0,EN_INDCi2030_3000f,C6,ModAct,World,Secondary Energy|Electricity|Biomass,EJ/yr,1.214493248,2.034684352,1.721272901621094,0.744610807,0.6474555320000001
IMAGE 3.0,EN_INDCi2030_3000f,C6,ModAct,World,Secondary Energy|Electricity|Hydro,EJ/yr,12.387319808,15.858799616,19.752290304,22.117070848,22.907639808
IMAGE 3.0,EN_INDCi2030_3000f,C6,ModAct,World,Secondary Energy|Electricity|Non-Biomass Renewables,EJ/yr,13.984733304,25.907210496,41.214042528,56.00487158399999,61.459351744
IMAGE 3.0,EN_INDCi2030_3000f,C6,ModAct,World,Secondary Energy|Electricity|Nuclear,EJ/yr,9.9226368,10.583119872,10.713100288,7.980965887999999,4.476380160000001
IMAGE 3.0,EN_INDCi2030_3000f,C6,ModAct,World,Secondary Energy|Electricity|Solar,EJ/yr,0.1214136,3.857434656,10.237413376,15.870077888,19.103423488
IMAGE 3.0,EN_INDCi2030_3000f,C6,ModAct,World,Secondary Energy|Electricity|Wind,EJ/yr,1.228849096,5.830440928000001,10.374330464,16.211793088,16.649226368
IMAGE 3.0,EN_INDCi2030_3000f,C6,ModAct,World,Secondary Energy|Electricity|Solar|PV,EJ/yr,0.1154952,3.76484096,10.043570176,15.526370304,18.24125952
IMAGE 3.0,EN_INDCi2030_3000f,C6,ModAct,World,Secondary Energy|Electricity|Solar|CSP,EJ/yr,0.0059184,0.092593696,0.1938432,0.343707584,0.8621639680000001
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,C1,LD,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,0.0,0.0,0.0,0.0,0.0
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,C1,LD,World,Final Energy|Industry|Electricity,EJ/yr,26.56087448737514,33.07743340026887,34.27491638572236,37.85399449400703,40.98825712591625
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,C1,LD,World,Secondary Energy|Electricity|Biomass,EJ/yr,1.030898074933249,1.32851609429126,2.746291361959059,1.741187542357862,1.367348067767528
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,C1,LD,World,Secondary Energy|Electricity|Geothermal,EJ/yr,0.3578787047146719,0.2525068439006043,0.6316785165319267,0.8427355629586224,1.343856511982044
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,C1,LD,World,Secondary Energy|Electricity|Hydro,EJ/yr,12.369035492,16.19851644456464,23.52615891610503,25.81518351499459,27.9885336460175
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,C1,LD,World,Secondary Energy|Electricity|Non-Biomass Renewables,EJ/yr,14.07285846444388,25.32535054610692,95.26430057614677,140.7027542032787,168.3518335048318
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,C1,LD,World,Secondary Energy|Electricity|Nuclear,EJ/yr,9.692204610806623,10.57728530402936,14.83635760153362,17.37737221510573,17.59660084260579
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,C1,LD,World,Secondary Energy|Electricity|Solar,EJ/yr,0.1253147277292077,2.909558841213681,31.46973752484361,56.22675515287872,62.74903642591389
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,C1,LD,World,Secondary Energy|Electricity|Wind,EJ/yr,1.22062954,5.964768416427998,39.63672561866618,57.81807997244675,76.27040692091838
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,C1,LD,World,Secondary Energy|Electricity|Solar|PV,EJ/yr,0.11439558,2.8391931097,30.93570273561518,55.17452614309195,60.34346837020013
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,C1,LD,World,Secondary Energy|Electricity|Solar|CSP,EJ/yr,0.0109191477292077,0.070365731513681,0.5340347892284323,1.052229009786783,2.405568055713758
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_50,C3,Ren-2.0,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,0.0,0.0,104.134067063883,550.558540337863,2368.95047302758
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_50,C3,Ren-2.0,World,Carbon Sequestration|CCS|Fossil,Mt CO2/yr,0.0,0.0,904.484414495778,3241.48105597329,6059.20307420448
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_50,C3,Ren-2.0,World,Final Energy|Industry|Electricity,EJ/yr,26.4118883678511,30.6008994365082,34.8085260767135,40.0904936271674,49.0781747075864
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_50,C3,Ren-2.0,World,Secondary Energy|Electricity,EJ/yr,86.6344412017587,109.227107870086,113.176040127884,163.317522285858,219.089866638554
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_50,C3,Ren-2.0,World,Secondary Energy|Electricity|Biomass,EJ/yr,0.757135198846151,0.263290606678474,1.43380980475772,1.12735295970702,1.92736422909748
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_50,C3,Ren-2.0,World,Secondary Energy|Electricity|Geothermal,EJ/yr,0.357841553874461,0.21421400943547,0.488452082780798,1.60566931081708,4.34311234538197
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_50,C3,Ren-2.0,World,Secondary Energy|Electricity|Hydro,EJ/yr,12.85671185875,13.7643838598315,17.8045162414665,22.0346442712424,24.0807816252483
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_50,C3,Ren-2.0,World,Secondary Energy|Electricity|Non-Biomass Renewables,EJ/yr,15.1186280991897,20.9707540172962,48.0100160128697,89.4971810010569,146.221240040565
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_50,C3,Ren-2.0,World,Secondary Energy|Electricity|Nuclear,EJ/yr,9.7035826144813,9.92899906658611,11.188873563278,10.5631158446982,9.02817420303127
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_50,C3,Ren-2.0,World,Secondary Energy|Electricity|Solar,EJ/yr,0.247911639330094,0.20573350321193,9.35392780949808,25.7272724315248,48.4382230039736
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_50,C3,Ren-2.0,World,Secondary Energy|Electricity|Wind,EJ/yr,1.65616304723515,6.78642264481721,20.3631198791243,40.1295949874726,69.3591230659614
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_50,C3,Ren-2.0,World,Secondary Energy|Electricity|Solar|PV,EJ/yr,0.234798230160634,0.20573350321193,8.81304369879921,23.6419061630012,42.8435091883471
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_50,C3,Ren-2.0,World,Secondary Energy|Electricity|Solar|CSP,EJ/yr,0.0131134091694606,0.0,0.54088411069887,2.08536626852363,5.59471381562653
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,C1,SP,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,0.0,1.1654,140.9781,462.808,906.1708
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,C1,SP,World,Carbon Sequestration|CCS|Fossil,Mt CO2/yr,0.0,0.767,241.0438,617.3596,487.2271
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,C1,SP,World,Final Energy|Industry|Electricity,EJ/yr,27.7512,34.0229,39.6541,57.8804,84.5722
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,C1,SP,World,Secondary Energy|Electricity,EJ/yr,77.9716,99.6659,141.1757,194.7766,241.9368
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,C1,SP,World,Secondary Energy|Electricity|Biomass,EJ/yr,1.187,2.0729,2.9177,3.212,4.3848
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,C1,SP,World,Secondary Energy|Electricity|Geothermal,EJ/yr,0.3191,0.8847,1.3412,1.3286,1.2364
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,C1,SP,World,Secondary Energy|Electricity|Hydro,EJ/yr,12.7283,19.5495,23.056,24.7255,25.4934
