barley_straw,maize_stover,rapeseed_straw,rice_straw,sorghum_straw,soybean_straw,sugarcane_tops_and_leaves,wheat_straw,forest_residue,co2_feedstock_fossil,co2_feedstock_biogenic_short,co2_feedstock_biogenic_long,electricity,plastic_production,ghg,bdv,plastics_mechanical_recycling,demand_scenario,ele_share,ele_impact,low_biodiversity
-0.0,454.82084471275294,-0.0,-0.0,-0.0,119.60955496607944,136.3257062320451,-0.0,-0.0,-0.2497888371419136,-0.0,-0.0,936.3651906915533,255.6901209608069,89.69161586590634,1990.281416230917,92.92659756663467,2005,0.02,0.001,True
-0.0,458.64685145356157,-0.0,-0.0,-0.0,120.44586293222649,131.66339152508942,-0.0,-0.0,-0.2497888371419136,-0.0,-0.0,936.3651906915533,255.6901209608069,90.14607902551079,2107.346815974054,92.92659756663467,2005,0.02,0.001,False
-0.0,454.82084471275294,-0.0,-0.0,-0.0,119.60955496607944,136.3257062320451,-0.0,-0.0,-0.2497888371419136,-0.0,-0.0,936.3651906915533,255.6901209608069,91.56434624728945,1990.281416230917,92.92659756663467,2005,0.02,0.003,True
-0.0,458.64685145356157,-0.0,-0.0,-0.0,120.44586293222649,131.66339152508942,-0.0,-0.0,-0.2497888371419136,-0.0,-0.0,936.3651906915533,255.6901209608069,92.0188094068939,2107.346815974054,92.92659756663467,2005,0.02,0.003,False
-0.0,454.82084471275294,-0.0,-0.0,-0.0,119.60955496607944,136.3257062320451,-0.0,-0.0,-0.2497888371419136,-0.0,-0.0,936.3651906915533,255.6901209608069,93.43707662867256,1990.281416230917,92.92659756663467,2005,0.02,0.005,True
-0.0,458.64685145356157,-0.0,-0.0,-0.0,120.44586293222649,131.66339152508942,-0.0,-0.0,-0.2497888371419136,-0.0,-0.0,936.3651906915533,255.6901209608069,93.891539788277,2107.346815974054,92.92659756663467,2005,0.02,0.005,False
-0.0,454.82084471275294,-0.0,-0.0,-0.0,119.60955496607944,136.3257062320451,-0.0,-0.0,-0.2497888371419136,-0.0,-0.0,936.3651906915533,255.6901209608069,95.30980701005566,1990.281416230917,92.92659756663467,2005,0.02,0.007,True
-0.0,458.64685145356157,-0.0,-0.0,-0.0,120.44586293222649,131.66339152508942,-0.0,-0.0,-0.2497888371419136,-0.0,-0.0,936.3651906915533,255.6901209608069,95.76427016966011,2107.346815974054,92.92659756663467,2005,0.02,0.007,False
-0.0,454.82084471275294,-0.0,-0.0,-0.0,119.60955496607944,136.3257062320451,-0.0,-0.0,-0.2497888371419136,-0.0,-0.0,936.3651906915533,255.6901209608069,97.18253739143877,1990.281416230917,92.92659756663467,2005,0.02,0.009,True
-0.0,458.64685145356157,-0.0,-0.0,-0.0,120.44586293222649,131.66339152508942,-0.0,-0.0,-0.2497888371419136,-0.0,-0.0,936.3651906915533,255.6901209608069,97.6370005510432,2107.346815974054,92.92659756663467,2005,0.02,0.009,False
-0.0,454.82084471275294,-0.0,-0.0,-0.0,119.60955496607944,136.3257062320451,-0.0,-0.0,-0.2497888371419136,-0.0,-0.0,936.3651906915533,255.6901209608069,99.05526777282188,1990.281416230917,92.92659756663467,2005,0.02,0.011,True
-0.0,458.64685145356157,-0.0,-0.0,-0.0,120.44586293222649,131.66339152508942,-0.0,-0.0,-0.2497888371419136,-0.0,-0.0,936.3651906915533,255.6901209608069,99.50973093242632,2107.346815974054,92.92659756663467,2005,0.02,0.011,False
-0.0,454.82084471275294,-0.0,-0.0,-0.0,119.60955496607944,136.3257062320451,-0.0,-0.0,-0.2497888371419136,-0.0,-0.0,936.3651906915533,255.6901209608069,100.92799815420499,1990.281416230917,92.92659756663467,2005,0.02,0.013,True
-0.0,458.64685145356157,-0.0,-0.0,-0.0,120.44586293222649,131.66339152508942,-0.0,-0.0,-0.2497888371419136,-0.0,-0.0,936.3651906915533,255.6901209608069,101.38246131380942,2107.346815974054,92.92659756663467,2005,0.02,0.013,False
-0.0,454.82084471275294,-0.0,-0.0,-0.0,119.60955496607944,136.3257062320451,-0.0,-0.0,-0.2497888371419136,-0.0,-0.0,936.3651906915533,255.6901209608069,102.80072853558809,1990.281416230917,92.92659756663467,2005,0.02,0.015,True
-0.0,458.64685145356157,-0.0,-0.0,-0.0,120.44586293222649,131.66339152508942,-0.0,-0.0,-0.2497888371419136,-0.0,-0.0,936.3651906915533,255.6901209608069,103.25519169519254,2107.346815974054,92.92659756663467,2005,0.02,0.015,False
-0.0,454.82084471275294,-0.0,-0.0,-0.0,119.60955496607944,136.3257062320451,-0.0,-0.0,-0.2497888371419136,-0.0,-0.0,936.3651906915533,255.6901209608069,104.6734589169712,1990.281416230917,92.92659756663467,2005,0.02,0.017,True
-0.0,458.64685145356157,-0.0,-0.0,-0.0,120.44586293222649,131.66339152508942,-0.0,-0.0,-0.2497888371419136,-0.0,-0.0,936.3651906915533,255.6901209608069,105.12792207657563,2107.346815974054,92.92659756663467,2005,0.02,0.017,False
-0.0,454.82084471275294,-0.0,-0.0,-0.0,119.60955496607944,190.9762107327232,-0.0,-0.0,-0.2497888371419136,-0.0,-0.0,631.9232556659864,255.6901209608069,106.2075307374167,1841.6268414621993,92.92659756663467,2005,0.02,0.019,True
-0.0,458.64685145356157,-0.0,-0.0,-0.0,120.44586293222649,192.09286890017316,-0.0,-0.0,-0.2497888371419136,-0.0,-0.0,599.7302923911009,255.6901209608069,106.63034869529359,1946.0934597255966,92.92659756663467,2005,0.02,0.019,False
