product_from,product_to,unit,flow_amount,flowxbdv,flowxcarbon,flowxcc
agricultural_residue,ethanol,kg,13.102563509926162,29.49933483084464,6.4726663739035235,1.715199577462539
agricultural_residue,glucose,kg,1.6844324413403609,3.7923599110504442,0.8321096260221382,0.22050172162588216
agricultural_residue,heat,kg,303.3222975007121,682.9049909856153,149.84121496535178,39.70660215568151
agricultural_residue,lactic_acid,kg,377.26146564578823,849.3728945049025,186.3671640290194,49.38565693486959
agricultural_residue,methanol,kg,920.7641291035173,2073.0240554894885,454.8574797771376,120.53322572980345
agricultural_residue,syngas_2_to_1,kg,10.331432378121853,23.26036296435884,5.103727594792195,1.3524428586904258
barley_straw,agricultural_residue,kg,53.196478151271364,142.4696731150395,26.279060206728055,11.527523687773124
btx,ethylbenzene,kg,27.657053353993277,375.4174116654752,25.52958771137841,23.530624985607016
btx,other_intermediates,kg,12.821510022325088,174.0394410284943,11.763624693682392,10.908542577655787
btx,terephthalic_acid,kg,2.258644745986426,30.658890285852493,2.0455650529688385,1.9216552758988874
butadiene,co2_emission,kg,0.093429839244077,0.0,0.025480865248384634,0.0
butadiene,ethylene,kg,0.008528137874107684,0.194648082141039,0.0073098080974126605,0.013787967046425249
butadiene,other_intermediates,kg,0.2920595162365645,12.187085668013083,0.25964090993430583,0.8842687707546099
carbon_monoxide,other_intermediates,kg,4.898979695013755,-8.82351923230682,2.0995627264344665,-1.2286844080150263
co2_feedstock,pbs,kg,3.759294646766326,3.759294646766326e-10,1.025262176390816,3.759294646766326e-10
ethanol,butadiene,kg,0.5747652423466206,10.84650704429358,0.29985502693223204,0.8087703922297866
ethanol,co2_emission,kg,426.80147685879075,0.0,116.4004027796702,157.32837558758885
ethanol,co2_feedstock,kg,113.28326723186397,1.1328326723186398e-08,30.895436517781082,1.1328326723186398e-08
ethanol,ethylene,kg,131.01684235446123,2472.44439784994,68.35148665632244,184.35795203465605
ethylbenzene,styrene,kg,37.26311064792077,588.2661963297168,33.7231151363683,38.79591129812604
ethylene,ethylbenzene,kg,9.931736880990321,226.68413254475726,8.512888950172044,16.05725222203786
ethylene,hdpe,kg,56.888913907035096,1298.4450006033335,48.76176366627606,91.97581955594198
ethylene,ldpe,kg,68.12039124327103,1554.7946932773177,58.388712150257334,110.13444242071319
ethylene,other_intermediates,kg,2.694057234790933,61.48975094813582,2.3091842182287,4.355648668305275
ethylene,vinyl_chloride,kg,23.16209170346476,528.6566416969443,19.853155282707785,37.44758373375464
forest_residue,ethanol,kg,381.7324635327673,2196.315519345942,198.88261350057178,8.01954520370847
forest_residue,glucose,kg,51.90516967384746,298.63881272746386,27.042593400074526,1.0904387084433729
glucose,co2_emission,kg,44.87464911154913,0.0,12.238540666786125,16.577751767201054
glucose,ethanol,kg,32.516763459026926,260.51674395020143,13.00670538361077,16.135884454878635
glucose,other_intermediates,kg,1.8133190613847454,14.856852201442567,0.7253276245538982,0.9195059965666563
gpps,Building and Construction,kg,13.520375551899896,240.43717489170632,12.438745507747905,15.794333256895104
gpps,Consumer products,kg,4.446799399473871,79.07885996327907,4.091055447515962,5.194695322792418
gpps,Electrical and Electronics,kg,1.1605414827853906,20.638281414183098,1.0676981641625594,1.355730014096236
gpps,Other,kg,3.015351038426349,53.62295464375073,2.7741229553522415,3.5224952890260584
gpps,Packaging,kg,8.886592084334476,158.0331172732946,8.175664717587718,10.381205489394974
hdpe,Building and Construction,kg,13.4032316670223,312.1780900441912,11.526779233639179,22.16669502111785
hdpe,Consumer products,kg,5.915569175175755,137.78103165778745,5.08738949065115,9.783358300452218
hdpe,Electrical and Electronics,kg,1.0292507128759885,23.972541078492853,0.8851556130733501,1.7022078868281498
hdpe,Other,kg,4.55419191778006,106.07284645279317,3.916605049290852,7.531868866928124
hdpe,Packaging,kg,27.649413254669017,643.9895418597002,23.778495399015352,45.727487695157045
hdpe,Transport,kg,4.051411684033614,94.36246368972274,3.4842140482689077,6.700354767867578
heat,co2_emission,kg,549.4177882062899,0.0,149.84121496535178,0.0
hips,Consumer products,kg,0.35498403458813865,7.001336679478508,0.32658531182108763,0.4667977013594315
hips,Electrical and Electronics,kg,3.6249502268942364,71.49475613539771,3.3349542087426975,4.76674517325777
hips,Other,kg,0.1725833040196937,3.403853973603596,0.15877663969811823,0.2269439798972323
lactic_acid,co2_emission,kg,683.3463337595718,0.0,186.3671819344287,0.0
lactic_acid,pla,kg,185.95120907971736,839.8990538470581,74.38048363188695,48.17110473434295
ldpe,Building and Construction,kg,4.467743889007433,107.11597909553674,3.842259744546392,7.628265247631201
ldpe,Consumer products,kg,9.781286289519562,234.51032193083137,8.411906208986824,16.700654319746633
ldpe,Electrical and Electronics,kg,2.5731267821899713,61.69176243279691,2.2128890326833752,4.393379320292592
ldpe,Other,kg,5.3784776324928405,128.95119146498521,4.6254907639438425,9.183260058853078
ldpe,Packaging,kg,44.30346607745019,1062.1936404833345,38.100980826607156,75.64412800378827
ldpe,Transport,kg,0.5064264605042017,12.141780617788784,0.43552675603361346,0.8646769969626273
maize_stover,agricultural_residue,kg,458.64685145356157,715.33494315255,226.57154461805942,41.84910520147651
methanol,btx,kg,107.17785766138834,518.6481527574996,40.191696623020626,32.55565463533043
methanol,co2_emission,kg,956.4529028317622,0.0,260.8507916813897,0.0
methanol,ethylene,kg,211.9215319204311,1025.5169627230566,79.47057447016167,64.37191742336172
methanol,other_intermediates,kg,8.31322216860173,40.22880672638489,3.117458313225649,2.525170737064206
methanol,propylene,kg,190.22735874702323,920.5359238452588,71.33525953013371,57.78223533003364
