process,product_name,type,unit,value,product_type,carbon_content,data_source
"methanol, from gpps_waste gasification",co2_feedstock,BY-PRODUCT CREDITS,kg,0.8046163849154746,raw_material,0.2727272727272727,Prifti2023
"methanol, from gpps_waste gasification",heat_high,UTILITIES,MJ,-4.400520156046815,intermediate,0.0,Prifti2023
"methanol, from hips_waste gasification",methanol,PRODUCT,kg,1.0,intermediate,0.375,Prifti2023
"methanol, from hips_waste gasification",hips_waste,RAW MATERIALS,kg,-0.812743823146944,waste,0.923,Prifti2023
"methanol, from hips_waste gasification",oxygen_liquid,RAW MATERIALS,kg,-0.638816644993498,intermediate,0.0,Prifti2023
"methanol, from hips_waste gasification",water,RAW MATERIALS,kg,-0.8010403120936281,raw_material,0.0,Prifti2023
"methanol, from hips_waste gasification",electricity,UTILITIES,kWh,-0.4372561768530559,intermediate,0.0,Prifti2023
"methanol, from hips_waste gasification",co2_emission,EMISSION,kg,0.6816914174252275,emission,0.2727272727272727,Prifti2023
"methanol, from hips_waste gasification",co2_feedstock,BY-PRODUCT CREDITS,kg,0.8046163849154746,raw_material,0.2727272727272727,Prifti2023
"methanol, from hips_waste gasification",heat_high,UTILITIES,MJ,-4.400520156046815,intermediate,0.0,Prifti2023
waste incineration from hdpe_waste,co_emission,EMISSION,kg,2.5353e-05,emission,0.428,mass balance
waste incineration from hdpe_waste,nh3_emission,EMISSION,kg,1.7204e-06,,,mass balance
waste incineration from hdpe_waste,nox_emission,EMISSION,kg,0.00054479,,,mass balance
waste incineration from hdpe_waste,pm25_emission,EMISSION,kg,1.7807e-06,,,mass balance
waste incineration from hdpe_waste,sox_emission,EMISSION,kg,1.496e-05,,,mass balance
waste incineration from hdpe_waste,nmvoc_emission,EMISSION,kg,6.7875e-07,emission,0.0,mass balance
waste incineration from hdpe_waste,co2_emission,EMISSION,kg,3.142333333333333,emission,0.2727272727272727,mass balance
waste incineration from hdpe_waste,hdpe_waste,RAW MATERIALS,kg,-1.0,waste,0.857,mass balance
waste incineration from ldpe_waste,co_emission,EMISSION,kg,2.5353e-05,emission,0.428,mass balance
waste incineration from ldpe_waste,nh3_emission,EMISSION,kg,1.7204e-06,,,mass balance
waste incineration from ldpe_waste,nox_emission,EMISSION,kg,0.00054479,,,mass balance
waste incineration from ldpe_waste,pm25_emission,EMISSION,kg,1.7807e-06,,,mass balance
waste incineration from ldpe_waste,sox_emission,EMISSION,kg,1.496e-05,,,mass balance
waste incineration from ldpe_waste,nmvoc_emission,EMISSION,kg,6.7875e-07,emission,0.0,mass balance
waste incineration from ldpe_waste,co2_emission,EMISSION,kg,3.142333333333333,emission,0.2727272727272727,mass balance
waste incineration from ldpe_waste,ldpe_waste,RAW MATERIALS,kg,-1.0,waste,0.857,mass balance
waste incineration from pp_waste,co_emission,EMISSION,kg,2.5353e-05,emission,0.428,mass balance
waste incineration from pp_waste,nh3_emission,EMISSION,kg,1.7204e-06,,,mass balance
waste incineration from pp_waste,nox_emission,EMISSION,kg,0.00054479,,,mass balance
waste incineration from pp_waste,pm25_emission,EMISSION,kg,1.7807e-06,,,mass balance
waste incineration from pp_waste,sox_emission,EMISSION,kg,1.496e-05,,,mass balance
waste incineration from pp_waste,nmvoc_emission,EMISSION,kg,6.7875e-07,emission,0.0,mass balance
waste incineration from pp_waste,co2_emission,EMISSION,kg,3.142333333333333,emission,0.2727272727272727,mass balance
waste incineration from pp_waste,pp_waste,RAW MATERIALS,kg,-1.0,waste,0.857,mass balance
waste incineration from gpps_waste,co_emission,EMISSION,kg,2.5353e-05,emission,0.428,mass balance
waste incineration from gpps_waste,nh3_emission,EMISSION,kg,1.7204e-06,,,mass balance
waste incineration from gpps_waste,nox_emission,EMISSION,kg,0.00054479,,,mass balance
waste incineration from gpps_waste,pm25_emission,EMISSION,kg,1.7807e-06,,,mass balance
waste incineration from gpps_waste,sox_emission,EMISSION,kg,1.496e-05,,,mass balance
waste incineration from gpps_waste,nmvoc_emission,EMISSION,kg,6.7875e-07,emission,0.0,mass balance
waste incineration from gpps_waste,co2_emission,EMISSION,kg,3.142333333333333,emission,0.2727272727272727,mass balance
waste incineration from gpps_waste,gpps_waste,RAW MATERIALS,kg,-1.0,waste,0.857,mass balance
waste incineration from pvc_waste,co_emission,EMISSION,kg,2.5353e-05,emission,0.428,mass balance
waste incineration from pvc_waste,nh3_emission,EMISSION,kg,1.7204e-06,,,mass balance
waste incineration from pvc_waste,nox_emission,EMISSION,kg,0.00054479,,,mass balance
waste incineration from pvc_waste,pm25_emission,EMISSION,kg,1.7807e-06,,,mass balance
waste incineration from pvc_waste,sox_emission,EMISSION,kg,1.496e-05,,,mass balance
waste incineration from pvc_waste,nmvoc_emission,EMISSION,kg,6.7875e-07,emission,0.0,mass balance
waste incineration from pvc_waste,co2_emission,EMISSION,kg,1.3933333333333333,emission,0.2727272727272727,mass balance
waste incineration from pvc_waste,pvc_waste,RAW MATERIALS,kg,-1.0,waste,0.38,mass balance
waste incineration from pur_flexible_waste,co_emission,EMISSION,kg,2.5353e-05,emission,0.428,mass balance
waste incineration from pur_flexible_waste,nh3_emission,EMISSION,kg,1.7204e-06,,,mass balance
waste incineration from pur_flexible_waste,nox_emission,EMISSION,kg,0.00054479,,,mass balance
waste incineration from pur_flexible_waste,pm25_emission,EMISSION,kg,1.7807e-06,,,mass balance
waste incineration from pur_flexible_waste,sox_emission,EMISSION,kg,1.496e-05,,,mass balance
