process,product_name,type,unit,value,product_type,carbon_content,data_source
"pvc_mr, from mechanical recycling",pvc_waste,RAW MATERIALS,kg,-1.0,waste,0.38,MK2
"pvc_mr, from mechanical recycling",pvc_mr,PRODUCT,kg,1.0,intermediate,0.38,MK2
"methanol, from pp_waste gasification",methanol,PRODUCT,kg,1.0,intermediate,0.375,Prifti2023
"methanol, from pp_waste gasification",pp_waste,RAW MATERIALS,kg,-0.812743823146944,waste,0.857,Prifti2023
"methanol, from pp_waste gasification",oxygen_liquid,RAW MATERIALS,kg,-0.638816644993498,intermediate,0.0,Prifti2023
"methanol, from pp_waste gasification",water,RAW MATERIALS,kg,-0.8010403120936281,raw_material,0.0,Prifti2023
"methanol, from pp_waste gasification",electricity,UTILITIES,kWh,-0.4372561768530559,intermediate,0.0,Prifti2023
"methanol, from pp_waste gasification",co2_emission,EMISSION,kg,0.6816914174252275,emission,0.2727272727272727,Prifti2023
"methanol, from pp_waste gasification",co2_feedstock,BY-PRODUCT CREDITS,kg,0.8046163849154746,raw_material,0.2727272727272727,Prifti2023
"methanol, from pp_waste gasification",heat_high,UTILITIES,MJ,-4.400520156046815,intermediate,0.0,Prifti2023
"methanol, from ldpe_waste gasification",methanol,PRODUCT,kg,1.0,intermediate,0.375,Prifti2023
"methanol, from ldpe_waste gasification",ldpe_waste,RAW MATERIALS,kg,-0.812743823146944,waste,0.857,Prifti2023
"methanol, from ldpe_waste gasification",oxygen_liquid,RAW MATERIALS,kg,-0.638816644993498,intermediate,0.0,Prifti2023
"methanol, from ldpe_waste gasification",water,RAW MATERIALS,kg,-0.8010403120936281,raw_material,0.0,Prifti2023
"methanol, from ldpe_waste gasification",electricity,UTILITIES,kWh,-0.4372561768530559,intermediate,0.0,Prifti2023
"methanol, from ldpe_waste gasification",co2_emission,EMISSION,kg,0.6816914174252275,emission,0.2727272727272727,Prifti2023
"methanol, from ldpe_waste gasification",co2_feedstock,BY-PRODUCT CREDITS,kg,0.8046163849154746,raw_material,0.2727272727272727,Prifti2023
"methanol, from ldpe_waste gasification",heat_high,UTILITIES,MJ,-4.400520156046815,intermediate,0.0,Prifti2023
"methanol, from hdpe_waste gasification",methanol,PRODUCT,kg,1.0,intermediate,0.375,Prifti2023
"methanol, from hdpe_waste gasification",hdpe_waste,RAW MATERIALS,kg,-0.812743823146944,waste,0.857,Prifti2023
"methanol, from hdpe_waste gasification",oxygen_liquid,RAW MATERIALS,kg,-0.638816644993498,intermediate,0.0,Prifti2023
"methanol, from hdpe_waste gasification",water,RAW MATERIALS,kg,-0.8010403120936281,raw_material,0.0,Prifti2023
"methanol, from hdpe_waste gasification",electricity,UTILITIES,kWh,-0.4372561768530559,intermediate,0.0,Prifti2023
"methanol, from hdpe_waste gasification",co2_emission,EMISSION,kg,0.6816914174252275,emission,0.2727272727272727,Prifti2023
"methanol, from hdpe_waste gasification",co2_feedstock,BY-PRODUCT CREDITS,kg,0.8046163849154746,raw_material,0.2727272727272727,Prifti2023
"methanol, from hdpe_waste gasification",heat_high,UTILITIES,MJ,-4.400520156046815,intermediate,0.0,Prifti2023
"methanol, from gpps_waste gasification",methanol,PRODUCT,kg,1.0,intermediate,0.375,Prifti2023
"methanol, from gpps_waste gasification",gpps_waste,RAW MATERIALS,kg,-0.812743823146944,waste,0.857,Prifti2023
"methanol, from gpps_waste gasification",oxygen_liquid,RAW MATERIALS,kg,-0.638816644993498,intermediate,0.0,Prifti2023
"methanol, from gpps_waste gasification",water,RAW MATERIALS,kg,-0.8010403120936281,raw_material,0.0,Prifti2023
"methanol, from gpps_waste gasification",electricity,UTILITIES,kWh,-0.4372561768530559,intermediate,0.0,Prifti2023
"methanol, from gpps_waste gasification",co2_emission,EMISSION,kg,0.6816914174252275,emission,0.2727272727272727,Prifti2023
"methanol, from gpps_waste gasification",co2_feedstock,BY-PRODUCT CREDITS,kg,0.8046163849154746,raw_material,0.2727272727272727,Prifti2023
"methanol, from gpps_waste gasification",heat_high,UTILITIES,MJ,-4.400520156046815,intermediate,0.0,Prifti2023
"1,4-BDO, from glucose fermentation, according to Leiva2023",bdo_14,PRODUCT,kg,1.0,intermediate,0.5333,https://doi.org/10.1016/j.susmat.2023.e00683
"1,4-BDO, from glucose fermentation, according to Leiva2023",co2_feedstock,BY-PRODUCT CREDITS,kg,0.88,raw_material,0.2727272727272727,https://doi.org/10.1016/j.susmat.2023.e00683
"1,4-BDO, from glucose fermentation, according to Leiva2023",electricity,UTILITIES,kWh,-0.3,intermediate,0.0,https://doi.org/10.1016/j.susmat.2023.e00683
"1,4-BDO, from glucose fermentation, according to Leiva2023",glucose,RAW MATERIALS,kg,-2.77,intermediate,0.4,https://doi.org/10.1016/j.susmat.2023.e00683
"1,4-BDO, from glucose fermentation, according to Leiva2023",phosphate_rock,RAW MATERIALS,kg,-0.08,raw_material,0.0,https://doi.org/10.1016/j.susmat.2023.e00683
"1,4-BDO, from glucose fermentation, according to Leiva2023",sodium_hydroxide,RAW MATERIALS,kg,-0.06,raw_material,0.0,https://doi.org/10.1016/j.susmat.2023.e00683
"1,4-BDO, from glucose fermentation, according to Leiva2023",steam_high,UTILITIES,MJ,-1.7325,intermediate,0.0,https://doi.org/10.1016/j.susmat.2023.e00683
"1,4-BDO, from glucose fermentation, according to Leiva2023",water,RAW MATERIALS,kg,-2.93,raw_material,0.0,https://doi.org/10.1016/j.susmat.2023.e00683
"1,4-BDO, from glucose fermentation, according to Leiva2023",yeast,RAW MATERIALS,kg,-0.02,raw_material,0.4948780487804878,https://doi.org/10.1016/j.susmat.2023.e00683
"1,4-BDO, from glucose fermentation, according to Leiva2023",co2_emission,EMISSION,kg,1.22723333333333,emission,0.2727272727272727,https://doi.org/10.1016/j.susmat.2023.e00683
"cellulose, from organosolv pre-treatment of forest residue, according to Nitzsche2016",cellulose,PRODUCT,kg,1.0,intermediate,0.444,https://doi.org/10.1016/j.biortech.2015.11.008
"cellulose, from organosolv pre-treatment of forest residue, according to Nitzsche2016",cooling_water,UTILITIES,MJ,-0.513251243622759,intermediate,0.0,https://doi.org/10.1016/j.biortech.2015.11.008
"cellulose, from organosolv pre-treatment of forest residue, according to Nitzsche2016",electricity,UTILITIES,kWh,-0.2874585517607059,intermediate,0.0,https://doi.org/10.1016/j.biortech.2015.11.008
"cellulose, from organosolv pre-treatment of forest residue, according to Nitzsche2016",enzyme,RAW MATERIALS,kg,-0.004071108258451006,intermediate,0.53,https://doi.org/10.1016/j.biortech.2015.11.008
"cellulose, from organosolv pre-treatment of forest residue, according to Nitzsche2016",forest_residue,RAW MATERIALS,kg,-1.20822174,raw_material,0.521,https://doi.org/10.1016/j.biortech.2015.11.008
"cellulose, from organosolv pre-treatment of forest residue, according to Nitzsche2016",heat_high,UTILITIES,MJ,9.395107510382706,intermediate,0.0,https://doi.org/10.1016/j.biortech.2015.11.008
"cellulose, from organosolv pre-treatment of forest residue, according to Nitzsche2016",steam_high,UTILITIES,MJ,-2.09650284,intermediate,0.0,https://doi.org/10.1016/j.biortech.2015.11.008
"cellulose, from organosolv pre-treatment of forest residue, according to Nitzsche2016",water,RAW MATERIALS,kg,-7.631231354308848,raw_material,0.0,https://doi.org/10.1016/j.biortech.2015.11.008
"phb, from glucose fermentation",co2_emission,EMISSION,kg,1.2208725853112767,emission,0.2727272727272727,https://doi.org/10.1016/S0141-3910(02)00400-7
"cellulose, from organosolv pre-treatment of forest residue, according to Nitzsche2016",co2_emission,EMISSION,kg,1.015495647934503,emission,0.2727272727272727,https://doi.org/10.1016/j.biortech.2015.11.008
"fdca, from cellulose via HMF",cellulose,RAW MATERIALS,kg,-1.8487911818738518,intermediate,0.444,https://doi.org/10.1016/j.rser.2021.112059
"fdca, from cellulose via HMF",cooling_water,UTILITIES,MJ,-2.33606241026723,intermediate,0.0,https://doi.org/10.1016/j.rser.2021.112059
"fdca, from cellulose via HMF",electricity,UTILITIES,kg,-0.12093018468869482,intermediate,0.0,https://doi.org/10.1016/j.rser.2021.112059
"fdca, from cellulose via HMF",fdca,PRODUCT,kg,1.0,intermediate,0.4615,https://doi.org/10.1016/j.rser.2021.112059
"fdca, from cellulose via HMF",heat_high,UTILITIES,MJ,-1.3153087321885275,intermediate,0.0,https://doi.org/10.1016/j.rser.2021.112059
"fdca, from cellulose via HMF",lime,RAW MATERIALS,kg,-0.043478260869565216,raw_material,0.0,https://doi.org/10.1016/j.rser.2021.112059
"fdca, from cellulose via HMF",oxygen_liquid,RAW MATERIALS,kg,-0.8842620943049602,intermediate,0.0,https://doi.org/10.1016/j.rser.2021.112059
"fdca, from cellulose via HMF",sulfuric_acid,RAW MATERIALS,kg,-0.1298224127372933,raw_material,0.0,https://doi.org/10.1016/j.rser.2021.112059
"fdca, from cellulose via HMF",tetrahydrofuran,RAW MATERIALS,kg,-0.03490508266993264,intermediate,0.58824,https://doi.org/10.1016/j.rser.2021.112059
"pbs, from 1,4-BDO and succinic acid",bdo_14,RAW MATERIALS,kg,-0.68,intermediate,0.5333,https://doi.org/10.1016/j.susmat.2023.e00683
"pbs, from 1,4-BDO and succinic acid",cooling_water,UTILITIES,MJ,-0.0070376786487656995,intermediate,0.0,https://doi.org/10.1016/j.susmat.2023.e00683
"pbs, from 1,4-BDO and succinic acid",electricity,UTILITIES,kWh,-0.07,intermediate,0.0,https://doi.org/10.1016/j.susmat.2023.e00683
"pbs, from 1,4-BDO and succinic acid",pbs,PRODUCT,kg,1.0,intermediate,0.5581395348837209,https://doi.org/10.1016/j.susmat.2023.e00683
"pbs, from 1,4-BDO and succinic acid",steam_high,UTILITIES,MJ,-8.250000000000002,intermediate,0.0,https://doi.org/10.1016/j.susmat.2023.e00683
"pbs, from 1,4-BDO and succinic acid",succinic_acid,RAW MATERIALS,kg,-0.69,intermediate,0.40678,https://doi.org/10.1016/j.susmat.2023.e00683
"pbs, from 1,4-BDO and succinic acid",water,RAW MATERIALS,kg,-0.49,raw_material,0.0,https://doi.org/10.1016/j.susmat.2023.e00683
"phb, from glucose fermentation",co2_feedstock,BY-PRODUCT CREDITS,kg,0.9209302325581395,raw_material,0.2727272727272727,https://doi.org/10.1016/S0141-3910(02)00400-7
"phb, from glucose fermentation",phb,PRODUCT,kg,1.0,intermediate,0.5581395348837209,https://doi.org/10.1016/S0141-3910(02)00400-7
"phb, from glucose fermentation",ammonia,RAW MATERIALS,kg,-0.04761904761904762,intermediate,0.0,https://doi.org/10.1016/S0141-3910(02)00400-7
"phb, from glucose fermentation",ammonium_sulfate,RAW MATERIALS,kg,-0.0148,intermediate,0.0,https://doi.org/10.1016/S0141-3910(02)00400-7
"phb, from glucose fermentation",glucose,RAW MATERIALS,kg,-2.8556701030927836,intermediate,0.4,https://doi.org/10.1016/S0141-3910(02)00400-7
"phb, from glucose fermentation",magnesium_sulfate,RAW MATERIALS,kg,-0.0209,raw_material,0.0,https://doi.org/10.1016/S0141-3910(02)00400-7
"phb, from glucose fermentation",potassium_sulfate,RAW MATERIALS,kg,-0.0186,raw_material,0.0,https://doi.org/10.1016/S0141-3910(02)00400-7
"phb, from glucose fermentation",sds,RAW MATERIALS,kg,-0.2857142857142857,raw_material,0.5,https://doi.org/10.1016/S0141-3910(02)00400-7
"phb, from glucose fermentation",sodium_hypochlorite,RAW MATERIALS,kg,-0.1375,raw_material,0.0,https://doi.org/10.1016/S0141-3910(02)00400-7
"phb, from glucose fermentation",water,RAW MATERIALS,kg,-2.6315789473684212,raw_material,0.0,https://doi.org/10.1016/S0141-3910(02)00400-7
"phb, from glucose fermentation",cooling_water,UTILITIES,MJ,-19.285946297098306,intermediate,0.0,https://doi.org/10.1016/S0141-3910(02)00400-7
"phb, from glucose fermentation",electricity,UTILITIES,kWh,-1.392921775898524,intermediate,0.0,https://doi.org/10.1016/S0141-3910(02)00400-7
"phb, from glucose fermentation",steam_high,UTILITIES,MJ,-10.89,intermediate,0.0,https://doi.org/10.1016/S0141-3910(02)00400-7
"succinic acid, from glucose, according to Leiva2023",co2_feedstock,RAW MATERIALS,kg,-0.26,raw_material,0.2727272727272727,https://doi.org/10.1016/j.susmat.2023.e00683
"succinic acid, from glucose, according to Leiva2023",electricity,UTILITIES,kWh,-1.76,intermediate,0.0,https://doi.org/10.1016/j.susmat.2023.e00683
"succinic acid, from glucose, according to Leiva2023",glucose,RAW MATERIALS,kg,-1.28,intermediate,0.4,https://doi.org/10.1016/j.susmat.2023.e00683
"succinic acid, from glucose, according to Leiva2023",hydrochloric_acid,RAW MATERIALS,kg,-0.402,raw_material,0.0,https://doi.org/10.1016/j.susmat.2023.e00683
"succinic acid, from glucose, according to Leiva2023",magnesium_oxide,RAW MATERIALS,kg,-0.23809523809523808,raw_material,0.0,https://doi.org/10.1016/j.susmat.2023.e00683
"succinic acid, from glucose, according to Leiva2023",sodium_hydroxide,RAW MATERIALS,kg,-0.2,raw_material,0.0,https://doi.org/10.1016/j.susmat.2023.e00683
"succinic acid, from glucose, according to Leiva2023",succinic_acid,PRODUCT,kg,1.0,intermediate,0.40678,https://doi.org/10.1016/j.susmat.2023.e00683
"succinic acid, from glucose, according to Leiva2023",water,RAW MATERIALS,kg,-3.49,raw_material,0.0,https://doi.org/10.1016/j.susmat.2023.e00683
"succinic acid, from glucose, according to Leiva2023",yeast,RAW MATERIALS,kg,-0.09,raw_material,0.4948780487804878,https://doi.org/10.1016/j.susmat.2023.e00683
"methanol, from forest residue gasification, with co2 capture, according to Charalambous",methanol,PRODUCT,kg,1.0,intermediate,0.375,https://www.rsc.org/suppdata/d2/se/d2se01409b/d2se01409b1.pdf
"methanol, from forest residue gasification, with co2 capture, according to Charalambous",electricity,UTILITIES,kWh,-0.15488000000000002,intermediate,0.0,https://www.rsc.org/suppdata/d2/se/d2se01409b/d2se01409b1.pdf
