,Product,Location,GHG,Biodiversity,Scenario,Year,Ammonia,Carbon monoxide,NMVOC,Nitrogen oxides,Particulates,Sulfur dioxide,Sulfur oxides
0,electricity_non_biomass,RSAM,0.05320296635206974,0.006511409844218576,scenRCP1p9,2050,6.264969148226766e-06,5.676011374680643e-05,7.01992230246277e-05,6.799636415344884e-05,9.276300065084683e-06,5.313244057701529e-05,1.5929001199815927e-07
1,electricity_non_biomass,USA,0.05375307052709891,0.008710256175228056,scenRCP1p9,2050,1.0662275036988324e-05,0.00010576387918455641,0.00015948382537760397,0.00012122812150274234,1.6688813899528564e-05,0.00012122072853715927,8.107064057161573e-08
2,electricity_non_biomass,CEU,0.08937467339073348,0.008715361440322823,scenRCP1p9,2050,1.4900574087558524e-05,0.0001410431921041526,0.0002677344087672717,0.0001887816299121062,2.0861794855720918e-05,9.270995935738827e-05,1.1345215458873728e-07
3,electricity_non_biomass,RSAF,0.1271906060789385,0.008642422148622323,scenRCP1p9,2050,5.286027292777427e-06,9.68614890128484e-05,9.691079054173264e-05,9.009884095448072e-05,1.1481702918989051e-05,0.00010476478288661841,1.8244065364348592e-07
4,electricity_non_biomass,STAN,0.10642123142002963,0.010059216032982073,scenRCP1p9,2050,2.315039736568425e-05,0.00022611246886823148,0.00031672268602327895,0.0003026749366429486,2.784751224347372e-05,0.00025047330891968446,1.1286095971336644e-07
5,electricity_non_biomass,ME,0.0757114668158599,0.011721475914697866,scenRCP1p9,2050,1.9222783413071e-05,0.00011127468828750724,0.00022112779370459285,0.00014767944717855624,1.144125697573437e-05,9.825093227963902e-05,5.253310643459079e-08
6,electricity_non_biomass,EAF,0.05316449967828452,0.02186685735455095,scenRCP1p9,2050,6.7281188169012e-06,0.00010931507221983488,0.00010967485469705698,0.0001010986341822394,1.5901717407904623e-05,0.00010161964206564768,2.2830204905904444e-07
7,electricity_non_biomass,TUR,0.13909354196413876,0.01737589957295798,scenRCP1p9,2050,4.977575870899955e-05,0.00016825519567015051,0.0001462616981864651,0.0006475841799767889,0.00012153506144433861,0.0010635362211465905,1.3299186386142969e-07
8,electricity_non_biomass,JAP,0.013725351527282948,0.009581966275914764,scenRCP1p9,2050,2.6891748670647714e-06,4.3036216165857606e-05,2.6210011590478135e-05,5.24580468655824e-05,1.4846799376523433e-05,4.194549442847761e-05,7.12333633231256e-08
9,electricity_non_biomass,RCAM,0.08121230370365903,0.057693767815149184,scenRCP1p9,2050,1.2282154099665359e-05,0.00010891003685096942,0.00016853221179757036,0.00016995178224176653,1.8732361445024196e-05,0.00016375541056546533,1.8682267474297658e-07
10,electricity_non_biomass,BRA,0.060571586905673686,0.003458087399063726,scenRCP1p9,2050,1.5218285738774643e-06,3.3594323551094056e-05,1.6958372989442913e-05,3.5994349491175374e-05,6.7215216115885664e-06,4.081623742664506e-05,1.529469934225833e-07
11,electricity_non_biomass,OCE,0.014848632737895768,0.06434789012927883,scenRCP1p9,2050,3.3181005450209025e-06,7.770919103947556e-05,3.51816793899211e-05,4.0929125641796846e-05,8.373013414695003e-06,4.114212856012669e-05,1.2359253620243468e-07
12,electricity_non_biomass,MEX,0.056953547838998225,0.012891750597515357,scenRCP1p9,2050,1.1451363272707518e-05,9.656352696841522e-05,0.00014834105789429265,0.00011760950422326694,1.3249125158794585e-05,7.920586012256e-05,9.123325039014258e-08
13,electricity_non_biomass,KOR,0.02815191689600105,0.006549400955296783,scenRCP1p9,2050,4.409295236674424e-06,5.285753964949351e-05,4.5239456464381076e-05,9.618503827432199e-05,1.4902878381673374e-05,5.3592481356737535e-05,1.5848953234965746e-07
14,electricity_non_biomass,INDO,0.06357556405152029,0.026634019262164268,scenRCP1p9,2050,8.023620143291866e-06,9.016942833982136e-05,0.00010504305881155014,8.546324033860636e-05,9.839367606536049e-06,6.373639435406392e-05,1.4334615755492896e-07
15,electricity_non_biomass,RSAS,0.03959255040737106,0.007265742013804684,scenRCP1p9,2050,8.126374005974956e-06,8.641328895844333e-05,0.00011167698467098652,8.407127029694634e-05,1.0872693255106135e-05,6.42341339110201e-05,1.421218155747351e-07
16,electricity_non_biomass,INDIA,0.0632729982354329,0.006657987164006213,scenRCP1p9,2050,1.4833962122652942e-05,9.702497191926742e-05,0.00018818322106606703,0.00013404034215434233,1.3102604312436613e-05,8.437866037047649e-05,7.53307750229611e-08
17,electricity_non_biomass,WEU,0.051510282025570994,0.00838884605256356,scenRCP1p9,2050,1.2876419414338724e-05,9.565823275642862e-05,0.0001310404866437842,0.0001599636151265448,1.5597889169258374e-05,0.00010490792412119179,6.323354997298451e-08
18,electricity_non_biomass,SAF,0.03842586653844863,0.007434278208396716,scenRCP1p9,2050,5.232059893668082e-06,9.222313811300642e-05,9.147112773017491e-05,8.518042118717056e-05,1.5555382236752235e-05,7.774637558055128e-05,1.156843461868077e-07
